"State","Facility","County","Total Deaths","Resident Deaths","Staff Deaths","Deaths UI"
"Florida","VILLAGE PLACE HEALTH AND REHABILITATION CENTER","Charlotte","3","3","0","0"
"Florida","ABBEY DELRAY SOUTH","Palm Beach","2","2","0","0"
"Florida","ARCH PLAZA NURSING & REHABILITATION CENTER","Dade","2","2","0","0"
"Florida","AVALON PARK RETIREMENT RESIDENCE, INC.","Broward","2","2","0","0"
"Florida","AVANTE AT BOCA RATON, INC.","Palm Beach","2","2","0","0"
"Florida","BISHOP'S GLEN RETIREMENT CENTER","Volusia","2","2","0","0"
"Florida","BROOKDALE BRADENTON GARDENS","Manatee","2","2","0","0"
"Florida","BUENA VISTA ASSISTED LIVING","Dade","2","2","0","0"
"Florida","CARLISLE PALM BEACH, THE","Palm Beach","2","2","0","0"
"Florida","CONCORDIA VILLAGE OF TAMPA","Hillsborough","2","2","0","0"
"Florida","COVENANT VILLAGE CARE CENTER","Broward","2","2","0","0"
"Florida","FANNIE E. TAYLOR HOME FOR THE AGED-TAYLOR MANOR, INC.","Duval","2","2","0","0"
"Florida","FRANCO NURSING & REHABILITATION CENTER","Dade","2","2","0","0"
"Florida","GLADWELL FORT MYERS","Lee","2","2","0","0"
"Florida","GOLFCREST HEALTHCARE CENTER","Broward","2","2","0","0"
"Florida","GRAND OAKS OF PALM CITY LLC","Martin","2","2","0","0"
"Florida","HAMPTON COURT NURSING AND REHABILITATION CENTER","Dade","2","2","0","0"
"Florida","HANNA OAKS CENTER FOR INDEPENDENT AND ASSISTED LIVING","Hillsborough","2","2","0","0"
"Florida","HAZEL CYPEN TOWER","Dade","2","2","0","0"
"Florida","HERITAGE PARK REHABILITATION AND HEALTHCARE","Lee","2","2","0","0"
"Florida","HILLCREST HEALTH CARE AND REHABILITATION CENTER","Broward","2","2","0","0"
"Florida","HOMEWOOD RESIDENCE AT FREEDOM PLAZA","Hillsborough","2","2","0","0"
"Florida","INN AT FREEDOM SQUARE (THE)","Pinellas","2","2","0","0"
"Florida","LANIER REHABILITATION CENTER","Duval","2","2","0","0"
"Florida","MACCLENNY NURSING AND REHAB CENTER","Baker","2","2","0","0"
"Florida","MANORCARE HEALTH SERVICES","Palm Beach","2","2","0","0"
"Florida","PACIFICA SENIOR LIVING FORT MYERS","Lee","2","2","0","0"
"Florida","PALMETTO CARE CENTER","Dade","2","2","0","0"
"Florida","PARK SUMMIT AT CORAL SPRINGS","Broward","2","2","0","0"
"Florida","PROMISE POINTE AT TAMPA OAKS","Hillsborough","2","2","0","0"
"Florida","RIVERCHASE HEALTH AND REHABILITATION CENTER","Gadsden","2","2","0","0"
"Florida","SAEJCA'S CASTLE LLC","Broward","2","2","0","0"
"Florida","SALMO 23 NO. 2, LLC.","Dade","2","2","0","0"
"Florida","SALMOS 23 V LLC","Dade","2","2","0","0"
"Florida","SEAGRASS VILLAGE OF FLEMING ISLAND","Clay","2","2","0","0"
"Florida","SOLARIS HEALTHCARE PALATKA","Putnam","2","2","0","0"
"Florida","SPRINGWOOD COURT","Lee","2","2","0","0"
"Florida","TAMARAC REHABILITATION AND HEALTH CENTER, INC.","Broward","2","2","0","0"
"Florida","TERRACES OF LAKE WORTH CARE CENTER","Palm Beach","2","2","0","0"
"Florida","VILLA RIO VISTA","Broward","2","2","0","0"
"Florida","WINDSOR AT CAPE CORAL (THE)","Lee","2","2","0","0"
"Florida","WINDSOR HEALTH AND REHABILITATION CENTER","Bradford","2","2","0","0"
"Florida","1 AAA ASSISTED LIVING AT WELLINGTON","Palm Beach","1","1","0","0"
"Florida","A LOVING PLACE ALF","Dade","1","1","0","0"
"Florida","ADDINGTON PLACE AT WELLINGTON GREEN","Palm Beach","1","1","0","0"
"Florida","ADDINGTON PLACE OF EAST LAKE","Pinellas","1","1","0","0"
"Florida","ALLEGRO","Clay","1","1","0","0"
"Florida","ARBOR AT SHELL POINT (THE)","Lee","1","1","0","0"
"Florida","ARCADIA HEALTH & REHABILITATION CENTER","Escambia","1","1","0","0"
"Florida","AVANTE AT LAKE WORTH, INC.","Palm Beach","1","1","0","0"
"Florida","BARDMOOR OAKS HEALTHCARE AND REHABILITATION CENTER","Pinellas","1","1","0","0"
"Florida","BARKLEY PLACE","Lee","1","1","0","0"
"Florida","BAY TREE CENTER","Pinellas","1","1","0","0"
"Florida","BRANDON HEALTH AND REHABILITATION CENTER","Hillsborough","1","1","0","0"
"Florida","BRIGHTON GARDENS OF BOCA RATON","Palm Beach","1","1","0","0"
"Florida","BROOKDALE ORMOND BEACH WEST","Volusia","1","1","0","0"
"Florida","BROOKDALE SOUTHPOINT","Duval","1","1","0","0"
"Florida","BROOKDALE WEST BOYNTON BEACH","Palm Beach","1","1","0","0"
"Florida","BROWARD NURSING & REHABILITATION CENTER","Broward","1","1","0","0"
"Florida","BRYAN FAMILY HOME, INC","Dade","1","1","0","0"
"Florida","BUCKINGHAM PLACE, LLC","Broward","1","1","0","0"
"Florida","CAPE WEST LLC","Lee","1","1","0","0"
"Florida","CASA DE AMOR ALF INC","Dade","1","1","0","0"
"Florida","CONSULATE HEALTH CARE OF SARASOTA","Sarasota","1","1","0","0"
"Florida","CORAL BAY HEALTHCARE AND REHABILITATION","Palm Beach","1","1","0","0"
"Florida","CRESTHAVEN","Palm Beach","1","1","0","0"
"Florida","CROSSBREEZE CARE CENTER","Sarasota","1","1","0","0"
"Florida","CRYSTAL HEALTH AND REHAB CENTER, LLC","Monroe","1","1","0","0"
"Florida","CYPRESS COVE AT HEALTHPARK FLORIDA","Lee","1","1","0","0"
"Florida","DELTONA HEALTH CARE","Volusia","1","1","0","0"
"Florida","DISCOVERY VILLAGE AT THE FORUM","Lee","1","1","0","0"
"Florida","EMERALD HEALTH CARE CENTER","St. Lucie","1","1","0","0"
"Florida","FIVE STAR PREMIER RESIDENCES OF BOCA RATON","Palm Beach","1","1","0","0"
"Florida","FIVE STAR PREMIER RESIDENCES OF PLANTATION","Broward","1","0","1","0"
"Florida","GRAND VILLA OF DELAND","Volusia","1","1","0","0"
"Florida","GUARDIAN CARE NURSING & REHABILITATION CENTER","Orange","1","1","0","0"
"Florida","HARBOUR'S EDGE","Palm Beach","1","1","0","0"
"Florida","HARMONY HEALTH CENTER","Dade","1","1","0","0"
"Florida","HEARTLAND HEALTH CARE CENTER - PROSPERITY OAKS","Palm Beach","1","1","0","0"
"Florida","HEARTLAND OF ZEPHYRHILLS","Pasco","1","1","0","0"
"Florida","HOBE SOUND MANOR","Martin","1","1","0","0"
"Florida","HOMESTEAD VILLAGE RETIREMENT COMMUNITY","Escambia","1","1","0","0"
"Florida","IMPERIAL CLUB","Dade","1","1","0","0"
"Florida","LAKESIDE PAVILION","Collier","1","1","0","0"
"Florida","LIFE CARE CENTER AT WELLS CROSSING","Clay","1","1","0","0"
"Florida","LIFE CARE CENTER OF HILLIARD","Nassau","1","1","0","0"
"Florida","LIFE CARE CENTER OF INVERRARY","Broward","1","1","0","0"
"Florida","LIFE CARE CENTER OF ORANGE PARK","Clay","1","1","0","0"
"Florida","LOG CABIN ENTERPRISES, INC.","Dade","1","1","0","0"
"Florida","MAGGYS HOME CARE III INC","Broward","1","1","0","0"
"Florida","MAGNOLIA HEALTH AND REHABILITATION CENTER","Sarasota","1","1","0","0"
"Florida","MANGROVE BAY","Palm Beach","1","1","0","0"
"Florida","MANORCARE HEALTH SERVICES","Lee","1","1","0","0"
"Florida","MARIA ADULT HOME CARE III","Dade","1","1","0","0"
"Florida","MAYFLOWER HEALTHCARE CENTER","Orange","1","1","0","0"
"Florida","NEW ERA COMMUNITY HEALTH CENTER LLC","Dade","1","1","0","0"
"Florida","NSPIRE HEALTHCARE TAMARAC","Broward","1","1","0","0"
"Florida","OAKMONTE VILLAGE OF DAVIE","Broward","1","1","0","0"
"Florida","ORANGE CITY NURSING AND REHAB CENTER","Volusia","1","1","0","0"
"Florida","ORLANDO HEALTH AND REHABILITATION CENTER","Orange","1","1","0","0"
"Florida","OSPREY POINT NURSING CENTER","Sumter","1","1","0","0"
"Florida","PACIFICA SENIOR LIVING FOREST TRACE","Broward","1","1","0","0"
"Florida","PALACE AT HOMESTEAD, LLC","Dade","1","1","0","0"
"Florida","PALM GARDEN OF CLEARWATER","Pinellas","1","1","0","0"
"Florida","PALM GARDEN OF PINELLAS","Pinellas","1","1","0","0"
"Florida","PALM GARDEN OF TAMPA","Hillsborough","1","1","0","0"
"Florida","PARKSIDE INN","Palm Beach","1","1","0","0"
"Florida","PINECREST REHABILITATION CENTER","Dade","1","1","0","0"
"Florida","PINES NURSING HOME","Dade","1","1","0","0"
"Florida","PONCE THERAPY CARE CENTER, THE","St. Johns","1","1","0","0"
"Florida","PROFESSIONAL HOME CARE I","Dade","1","1","0","0"
"Florida","REHABILITATION AND HEALTHCARE CENTER OF TAMPA","Hillsborough","1","1","0","0"
"Florida","RIVER VALLEY REHABILITATION CENTER","Calhoun","1","1","0","0"
"Florida","ROSEWOOD HEALTH AND REHABILITATION CENTER","Orange","1","1","0","0"
"Florida","ROSEWOOD HEALTHCARE AND REHABILITATION CENTER","Escambia","1","1","0","0"
"Florida","ROSEWOOD MANOR OF VERO BEACH, LLC","Indian River","1","1","0","0"
"Florida","SABAL PALMS HEALTH CARE CENTER","Pinellas","1","1","0","0"
"Florida","SALERNO BAY HEALTH AND REHABILITATION CENTER","Martin","1","1","0","0"
"Florida","SALMO 23 ELDER CARE","Dade","1","1","0","0"
"Florida","SANDHILL GARDENS RETIREMENT CENTER","Charlotte","1","1","0","0"
"Florida","SAVANNAH COURT OF MAITLAND","Orange","1","1","0","0"
"Florida","SERENADES BY SONATA - WEST ORANGE","Orange","1","1","0","0"
"Florida","SOLARIS SENIOR LIVING STUART","Martin","1","1","0","0"
"Florida","SONATA WEST","Orange","1","1","0","0"
"Florida","SOUTH DADE NURSING AND REHABILITATION CENTER","Dade","1","1","0","0"
"Florida","ST. JOHN'S NURSING CENTER","Broward","1","1","0","0"
"Florida","STERLING AVENTURA","Dade","1","1","0","0"
"Florida","SUMMERFIELD RETIREMENT","Manatee","1","1","0","0"
"Florida","SUN COAST","Dade","1","1","0","0"
"Florida","SUNSHINE ELDERLY RESIDENCES, CORP","Dade","1","1","0","0"
"Florida","SUPERIOR RESIDENCES OF LECANTO","Citrus","1","1","0","0"
"Florida","TERRACE AT HOBE SOUND, THE","Martin","1","1","0","0"
"Florida","TERRACE COMMUNITIES TEQUESTA, LLC","Palm Beach","1","1","0","0"
"Florida","THE COLONNADE AT NORTHDALE","Hillsborough","1","1","0","0"
"Florida","THE COLONY CLUB ALF","Broward","1","1","0","0"
"Florida","THE COURT AT PALM AIRE","Broward","1","1","0","0"
"Florida","THE COVE AT TAVARES VILLAGE","Lake","1","1","0","0"
"Florida","THE HORIZON CLUB","Broward","1","1","0","0"
"Florida","THE MERIDIAN AT BOCA RATON","Palm Beach","1","1","0","0"
"Florida","THE PRESERVE AT PALM AIRE","Broward","1","1","0","0"
"Florida","VI AT AVENTURA","Dade","1","1","0","0"
"Florida","VICTORIA NURSING & REHABILITATION CENTER, INC.","Dade","1","1","0","0"
"Florida","VILLA MARGO IV INC","Dade","1","1","0","0"
"Florida","VILLA MARIA NURSING CENTER","Dade","1","1","0","0"
"Florida","VILLA MARIA PIA INC","Dade","1","1","0","0"
"Florida","VILLA MARIA WEST SKILLED NURSING FACILITY","Dade","1","1","0","0"
"Florida","VILLA ROSA IV, INC","Dade","1","1","0","0"
"Florida","VILLAGE PLACE RETIREMENT","Charlotte","1","1","0","0"
"Florida","VITALITY STAR RESORT ALF LLC","St. Lucie","1","1","0","0"
"Florida","W FRANK WELLS NURSING HOME","Baker","1","1","0","0"
"Florida","WHISPERING OAKS","Hillsborough","1","1","0","0"
"Florida","WILLISTON CARE CENTER","Levy","1","1","0","0"
"Florida","WINKLER COURT","Lee","1","1","0","0"
"Florida","YOURLIFE OF STUART","Martin","1","1","0","0"
"Florida","A BANYAN RESIDENCE","Sarasota","0","0","0","0"
"Florida","A COTTAGE CALLED HOME LLC","Marion","0","0","0","0"
"Florida","AASBURY MANOR ALF","Orange","0","0","0","0"
"Florida","ABBEY DELRAY","Palm Beach","0","0","0","0"
"Florida","ABBEY DELRAY HEALTH CENTER","Palm Beach","0","0","0","0"
"Florida","ABBEY REHABILITATION AND NURSING CENTER","Pinellas","0","0","0","0"
"Florida","ACADEMY ASSISTED LIVING FACILITY, INC","St. Lucie","0","0","0","0"
"Florida","ACTIVE SENIOR LIVING RESIDENCE","Broward","0","0","0","0"
"Florida","ADAM HOME # 2 INC.","Dade","0","0","0","0"
"Florida","ADDINGTON PLACE AT COLLEGE HARBOR","Pinellas","0","0","0","0"
"Florida","ADDINGTON PLACE JUPITER","Palm Beach","0","0","0","0"
"Florida","ADDINGTON PLACE STUART","Martin","0","0","0","0"
"Florida","ADVENTHEALTH CARE CENTER APOPKA SOUTH","Seminole","0","0","0","0"
"Florida","ADVENTHEALTH CARE CENTER ORLANDO NORTH","Orange","0","0","0","0"
"Florida","ADVENTHEALTH CARE CENTER WATERMAN","Lake","0","0","0","0"
"Florida","AGUILA ADULT CARE CENTER","Hillsborough","0","0","0","0"
"Florida","ALDEA GREEN","Hillsborough","0","0","0","0"
"Florida","ALF MANAGEMENT AND PROFESSIONAL SERVICES, INC","Dade","0","0","0","0"
"Florida","ALHAMBRA HEALTH AND REHABILITATION CENTER","Pinellas","0","0","0","0"
"Florida","ALLEGRO","Hillsborough","0","0","0","0"
"Florida","ALLEGRO","Hillsborough","0","0","0","0"
"Florida","ALLEGRO","Leon","0","0","0","0"
"Florida","ALLEGRO","Palm Beach","0","0","0","0"
"Florida","ALLIANCE HEALTH AND REHABILITATION CENTER","Volusia","0","0","0","0"
"Florida","AMA HOME CARE, INC","Dade","0","0","0","0"
"Florida","AMAVIDA SENIOR LIVING","Lee","0","0","0","0"
"Florida","AMBER LAKE ASSISTED LIVING FACILITY","Osceola","0","0","0","0"
"Florida","AMERICAN HOUSE BONITA SPRINGS","Lee","0","0","0","0"
"Florida","AMERICAN HOUSE FORT MYERS","Lee","0","0","0","0"
"Florida","AMERICAN HOUSE ZEPHRYHILLS","Pasco","0","0","0","0"
"Florida","ANGELS SENIOR LIVING AT CONNERTON COURT LLC","Pasco","0","0","0","0"
"Florida","ANGELS SENIOR LIVING AT NEW TAMPA, LLC","Hillsborough","0","0","0","0"
"Florida","ANGELS SENIOR LIVING AT SOUTH TAMPA","Hillsborough","0","0","0","0"
"Florida","APOLLO HEALTH AND REHABILITATION CENTER","Pinellas","0","0","0","0"
"Florida","ARBOR GLEN AT ARBOR TRACE","Collier","0","0","0","0"
"Florida","ARBOR TRAIL REHAB AND SKILLED NURSING CENTER","Citrus","0","0","0","0"
"Florida","ARBORS OF GULF BREEZE","Santa Rosa","0","0","0","0"
"Florida","ARCADIA OAKS ASSISTED LIVING","Desoto","0","0","0","0"
"Florida","ARDEN COURTS OF DELRAY BEACH","Palm Beach","0","0","0","0"
"Florida","ASBURY PLACE","Escambia","0","0","0","0"
"Florida","ASSISTED LIVING OF WESTCHESTER, LLC","Dade","0","0","0","0"
"Florida","ASTON GARDENS AT THE COURTYARDS (THE INN)","Hillsborough","0","0","0","0"
"Florida","ASTORIA HEALTH AND REHABILITATION CENTER","Polk","0","0","0","0"
"Florida","ATLANTIC SHORES NURSING AND REHAB CENTER","Brevard","0","0","0","0"
"Florida","ATRIA AT VILLAGES OF WINDSOR","Palm Beach","0","0","0","0"
"Florida","ATRIA MERIDIAN","Palm Beach","0","0","0","0"
"Florida","ATRIA PARK OF ST JOSEPH'S","Palm Beach","0","0","0","0"
