"X1","X2","X3","X4","X5"
"Terrace Of St Cloud, The","7","7","0","0"
"Freedom Square Rehabilitation & Nursing Services","6","6","0","0"
"Harborchase Of Tamarac","6","6","0","0"
"Heritage Healthcare And Rehabilitation Center","6","6","0","0"
"Jackson Plaza Nursing And Rehabilitation Center","6","6","0","0"
"Lake View Care Center At Delray","6","6","0","0"
"Lehigh Acres Health And Rehabilitation Center","6","6","0","0"
"Life Care Center Of Estero","6","6","0","0"
"Manorcare At Lely Palms","6","6","0","0"
"Oakbrook Health And Rehabilitation Center","6","6","0","0"
"Palms Care Center","6","6","0","0"
"Thrive At Beachwalk","6","6","0","0"
"University Plaza Rehabilitation And Nursing Center, Inc","6","6","0","0"
"Angels Senior Living At Sarasota","5","5","0","0"
"Brandywyne Health Care Center","5","5","0","0"
"Diamond ALF, LLC","5","5","0","0"
"Harborchase Of Vero Beach","5","5","0","0"
"Harbour Terrace","5","5","0","0"
"Heartland Health Care And Rehabilitation Center Of Boca Raton","5","5","0","0"
"Heartland Health Care Center - Boynton Beach","5","5","0","0"
"Heritage Park Care And Rehabilitation Center","5","5","0","0"
"Krystal Bay Nursing And Rehabilitation","5","5","0","0"
"Lakeland Hills Center","5","5","0","0"
"Margate Health And Rehabilitation Center","5","5","0","0"
"North Beach Rehabilitation Center","5","5","0","0"
"Nspire Healthcare Plantation","5","5","0","0"
"Palm Garden Of Aventura","5","5","0","0"
"Palm Garden Of Winter Haven","5","5","0","0"
"West Gables Health Care Center","5","5","0","0"
"All Seasons In Naples LLC","4","4","0","0"
"Bright Horizons Of Ramblewood, Inc.","4","4","0","0"
"Brookdale Pensacola","4","4","0","0"
"Consulate Health Care At West Altamonte","4","4","0","0"
"Consulate Health Care Of Brandon","4","4","0","0"
"Five Star Premier Residences Of Hollywood","4","4","0","0"
"Fort Walton Rehabilitation Center, LLC","4","4","0","0"
"Fountainview","4","4","0","0"
"Good Hope Manor","4","4","0","0"
"Grand Villa Of Delray East","4","4","0","0"
"Healthpark Care Center","4","4","0","0"
"Heartland Health Care Center - Orange Park","4","4","0","0"
"Jackson Memorial Long Term Care Center","4","4","0","0"
"Palmetto Subacute Care Center","4","4","0","0"
"Patrick Manor Inc","4","4","0","0"
"Pompano Health And Rehabilitation Center","4","4","0","0"
"Port Charlotte Rehabilitation Center","4","4","0","0"
"Presidential Place","4","4","0","0"
"Signature Healthcare Of Brookwood Gardens","4","4","0","0"
"Silver Palm Assisted Living, LLC","4","4","0","0"
"Tallahassee Developmental Center","4","2","2","0"
"The Rose Garden Of Ft Myers","4","4","0","0"
"Ventura Health And Rehabilitation Center","4","4","0","0"
"Washington Rehabilitation And Nursing Center","4","4","0","0"
"Willowbrooke Court At St Andrews Estates","4","4","0","0"
"Bentley Care Center","3","3","0","0"
"Blountstown Health And Rehabilitation Center","3","3","0","0"
"Cross Landings Health And Rehabilitation Center","3","3","0","0"
"Glades Health Care Center","3","3","0","0"
"Greenwood Place","3","3","0","0"
"Health And Rehabilitation Centre At Dolphins View","3","3","0","0"
"Lake Park Of Madison Nursing And Rehabilitation Center","3","3","0","0"
"Life Care Center Of Punta Gorda","3","3","0","0"
"Memorial Manor","3","3","0","0"
"North Lake Care Center","3","3","0","0"
"Nspire Healthcare Kendall","3","3","0","0"
"Nspire Healthcare Miami Lakes","3","3","0","0"
"Palm Garden Of Ocala","3","3","0","0"
"Palm Garden Of West Palm Beach","3","3","0","0"
"Ponce Plaza Nursing & Rehabilitation Center","3","3","0","0"
"Rehabilitation Center Of The Palm Beaches The","3","3","0","0"
"Renaissance Health And Rehabilitation","3","3","0","0"
"Springs At Lake Pointe Woods","3","3","0","0"
"St Petersburg Nursing & Rehabilitation","3","3","0","0"
"The Fountains Of Hope","3","3","0","0"
"Treasure Isle Care Center","3","3","0","0"
"Village Place Health And Rehabilitation Center","3","3","0","0"
"Abbey Delray South","2","2","0","0"
"Arch Plaza Nursing & Rehabilitation Center","2","2","0","0"
"Avalon Park Retirement Residence, Inc.","2","2","0","0"
"Brookdale Bradenton Gardens","2","2","0","0"
"Buena Vista Assisted Living","2","2","0","0"
"Coral Gables Nursing And Rehabilitation Center","2","2","0","0"
"Covenant Village Care Center","2","2","0","0"
"Fannie E. Taylor Home For The Aged-Taylor Manor, Inc.","2","2","0","0"
"Franco Nursing & Rehabilitation Center","2","2","0","0"
"Gladwell Fort Myers","2","2","0","0"
"Grace Manor At Lake Morton, LLC","2","2","0","0"
"Grand Oaks Of Palm City LLC","2","2","0","0"
"Hampton Court Nursing And Rehabilitation Center","2","2","0","0"
"Hazel Cypen Tower","2","2","0","0"
"Heartland Health Care Center-Ft Myers","2","2","0","0"
"Hillcrest Health Care And Rehabilitation Center","2","2","0","0"
"Homewood Residence At Freedom Plaza","2","2","0","0"
"Inn At Freedom Square (The)","2","2","0","0"
"Lanier Rehabilitation Center","2","2","0","0"
"Macclenny Nursing And Rehab Center","2","2","0","0"
"Manorcare Health Services","2","2","0","0"
"Pacifica Senior Living Fort Myers","2","2","0","0"
"Palmetto Care Center","2","2","0","0"
"Promise Pointe At Tampa Oaks","2","2","0","0"
"Riverchase Health And Rehabilitation Center","2","2","0","0"
"Saejca's Castle LLC","2","2","0","0"
"Salmo 23 No. 2, LLC.","2","2","0","0"
"Salmos 23 V LLC","2","2","0","0"
"Seagrass Village Of Fleming Island","2","2","0","0"
"Solaris Healthcare Palatka","2","2","0","0"
"Springwood Court","2","2","0","0"
"Sweetest Home Inc (The)","2","2","0","0"
"Terraces Of Lake Worth Care Center","2","2","0","0"
"Villa Rio Vista","2","2","0","0"
"Windsor At Cape Coral (The)","2","2","0","0"
"Windsor Health And Rehabilitation Center","2","2","0","0"
"1 AAA Assisted Living At Wellington","1","1","0","0"
"A Loving Place ALF","1","1","0","0"
"Addington Place At Wellington Green","1","1","0","0"
"Allegro","1","1","0","0"
"Arbor At Shell Point (The)","1","1","0","0"
"Arcadia Health & Rehabilitation Center","1","1","0","0"
"Avante At Boca Raton, Inc.","1","1","0","0"
"Avante At Lake Worth, Inc.","1","1","0","0"
"Bardmoor Oaks Healthcare And Rehabilitation Center","1","1","0","0"
"Barkley Place","1","1","0","0"
"Bay Tree Center","1","1","0","0"
"Bishop's Glen Retirement Center","1","1","0","0"
"Brandon Health And Rehabilitation Center","1","1","0","0"
"Brighton Gardens Of Boca Raton","1","1","0","0"
"Brookdale Avondale","1","1","0","0"
"Brookdale Ormond Beach West","1","1","0","0"
"Brookdale West Boynton Beach","1","1","0","0"
"Broward Nursing & Rehabilitation Center","1","1","0","0"
"Bryan Family Home, Inc","1","1","0","0"
"Buckingham Place, LLC","1","1","0","0"
"Carlisle Palm Beach, The","1","1","0","0"
"Carrollwood Care Center","1","1","0","0"
"Casa De Amor ALF Inc","1","1","0","0"
"Consulate Health Care Of Sarasota","1","1","0","0"
"Coral Bay Healthcare And Rehabilitation","1","1","0","0"
"Cresthaven","1","1","0","0"
"Crossbreeze Care Center","1","1","0","0"
"Crystal Health And Rehab Center, LLC","1","1","0","0"
"Cypress Cove At Healthpark Florida","1","1","0","0"
"Deltona Health Care","1","1","0","0"
"Discovery Village At The Forum","1","1","0","0"
"Five Star Premier Residences Of Boca Raton","1","1","0","0"
"Five Star Premier Residences Of Plantation","1","0","1","0"
"Golfcrest Healthcare Center","1","1","0","0"
"Guardian Care Nursing & Rehabilitation Center","1","1","0","0"
"Hanna Oaks Center For Independent And Assisted Living","1","1","0","0"
"Harbour's Edge","1","1","0","0"
"Harmony Health Center","1","1","0","0"
"Heartland Of Zephyrhills","1","1","0","0"
"Heritage Park Rehabilitation And Healthcare","1","1","0","0"
"Homestead Village Retirement Community","1","1","0","0"
"Imperial Club","1","1","0","0"
"Lakeside Pavilion","1","1","0","0"
"Life Care Center At Wells Crossing","1","1","0","0"
"Life Care Center Of Hilliard","1","1","0","0"
"Life Care Center Of Orange Park","1","1","0","0"
"Maggys Home Care III Inc","1","1","0","0"
"Magnolia Health And Rehabilitation Center","1","1","0","0"
"Manorcare Health Services","1","1","0","0"
"Mayflower Healthcare Center","1","1","0","0"
"New Era Community Health Center LLC","1","1","0","0"
"Oakmonte Village Of Davie","1","1","0","0"
"Orange City Nursing And Rehab Center","1","1","0","0"
"Osprey Point Nursing Center","1","1","0","0"
"Pacifica Senior Living Forest Trace","1","1","0","0"
"Palace At Homestead, LLC","1","1","0","0"
"Palm Garden Of Clearwater","1","1","0","0"
"Palm Garden Of Pinellas","1","1","0","0"
"Palm Garden Of Tampa","1","1","0","0"
"Park Summit At Coral Springs","1","1","0","0"
"Parkside Inn","1","1","0","0"
"Pinecrest Rehabilitation Center","1","1","0","0"
"Pines Nursing Home","1","1","0","0"
"Ponce Therapy Care Center, The","1","1","0","0"
"Professional Home Care I","1","1","0","0"
"River Valley Rehabilitation Center","1","1","0","0"
"Rosewood Health And Rehabilitation Center","1","1","0","0"
"Rosewood Healthcare And Rehabilitation Center","1","1","0","0"
"Rosewood Manor Of Vero Beach, LLC","1","1","0","0"
"Salmo 23 Elder Care","1","1","0","0"
"Sandhill Gardens Retirement Center","1","1","0","0"
"Savannah Court Of Maitland","1","1","0","0"
"Serenades By Sonata - West Orange","1","1","0","0"
"Solaris Senior Living Stuart","1","1","0","0"
"Sonata West","1","1","0","0"
"South Dade Nursing And Rehabilitation Center","1","1","0","0"
"St. John's Nursing Center","1","1","0","0"
"Sterling Aventura","1","1","0","0"
"Summerfield Retirement","1","1","0","0"
"Sun Coast","1","1","0","0"
"Sunshine Elderly Residences, Corp","1","1","0","0"
"Superior Residences Of Lecanto","1","1","0","0"
"Tamarac Rehabilitation And Health Center, Inc.","1","1","0","0"
"Terrace At Hobe Sound, The","1","1","0","0"
"Terrace Communities Tequesta, LLC","1","1","0","0"
"The Colony Club ALF","1","1","0","0"
"The Cove At Tavares Village","1","1","0","0"
"The Horizon Club","1","1","0","0"
"The Meridian At Boca Raton","1","1","0","0"
"The Preserve At Palm Aire","1","1","0","0"
"VI At Aventura","1","1","0","0"
"Victoria Nursing & Rehabilitation Center, Inc.","1","1","0","0"
"Villa Maria Nursing Center","1","1","0","0"
"Villa Maria West Skilled Nursing Facility","1","1","0","0"
"Villa Rosa IV, Inc","1","1","0","0"
"Village Place Retirement","1","1","0","0"
"W Frank Wells Nursing Home","1","1","0","0"
"Williston Care Center","1","1","0","0"
"Winkler Court","1","1","0","0"
"A Banyan Residence","0","0","0","0"
"A Cottage Called Home LLC","0","0","0","0"
"Aasbury Manor ALF","0","0","0","0"
"Abbey Delray","0","0","0","0"
"Abbey Delray Health Center","0","0","0","0"
"Abbey Rehabilitation And Nursing Center","0","0","0","0"
"Academy Assisted Living Facility, Inc","0","0","0","0"
"Active Senior Living Residence","0","0","0","0"
"Adam Home # 2 Inc.","0","0","0","0"
"Addington Place Of East Lake","0","0","0","0"
"Addington Place Stuart","0","0","0","0"
"Adventhealth Care Center Apopka South","0","0","0","0"
"Adventhealth Care Center Orlando North","0","0","0","0"
"Adventhealth Care Center Waterman","0","0","0","0"
"Aguila Adult Care Center","0","0","0","0"
"Aldea Green","0","0","0","0"
"ALF Management And Professional Services, Inc","0","0","0","0"
"Alhambra Health And Rehabilitation Center","0","0","0","0"
"Allegro","0","0","0","0"
"Allegro","0","0","0","0"
"Allegro","0","0","0","0"
"Alliance Health And Rehabilitation Center","0","0","0","0"
"Ama Home Care, Inc","0","0","0","0"
"Amber Lake Assisted Living Facility","0","0","0","0"
"American House Bonita Springs","0","0","0","0"
"American House Fort Myers","0","0","0","0"
"American House Zephryhills","0","0","0","0"
"Angels Senior Living At Connerton Court LLC","0","0","0","0"
"Angels Senior Living At New Tampa, LLC","0","0","0","0"
"Angels Senior Living At South Tampa","0","0","0","0"
"Apollo Health And Rehabilitation Center","0","0","0","0"
"Arbor Trail Rehab And Skilled Nursing Center","0","0","0","0"
"Arbors Of Gulf Breeze","0","0","0","0"
"Arcadia Oaks Assisted Living","0","0","0","0"
"Arden Courts Of Delray Beach","0","0","0","0"
"Asbury Place","0","0","0","0"
"Aston Gardens At The Courtyards (The Inn)","0","0","0","0"
"Atlantic Shores Nursing And Rehab Center","0","0","0","0"
"Atria At Villages Of Windsor","0","0","0","0"
"Atria Meridian","0","0","0","0"
"Atria Park Of St Joseph's","0","0","0","0"
"Atria Tamarac","0","0","0","0"
"Atrium At Boca Raton, The","0","0","0","0"
"Aurora Of The Treasure Coast","0","0","0","0"
"Autumn Village Inc.","0","0","0","0"
"Avalon Healthcare Center","0","0","0","0"
"Avante At Melbourne Inc","0","0","0","0"
"Avante At Mt Dora, Inc.","0","0","0","0"
"Avante At Ormond Beach, Inc","0","0","0","0"
"Avante At St. Cloud, Inc.","0","0","0","0"
"Baldomero Lopez Memorial Veterans Nursing Home","0","0","0","0"
"Balmore Place Assisted Living Facility","0","0","0","0"
"Barrington (The)","0","0","0","0"
"Barrington Terrace - Ft Myers","0","0","0","0"
"Barrington Terrace At Boynton Beach","0","0","0","0"
"Barrington Terrace Of Boynton Beach","0","0","0","0"
"Barrington Terrace Of Naples","0","0","0","0"
"Bartram Crossing","0","0","0","0"
"Bay Breeze Health And Rehabilitation Center","0","0","0","0"
"Bay Oaks Historic Retirement Residence Inc","0","0","0","0"
"Bay Pointe Nursing Pavilion","0","0","0","0"
"Bay Vue Nursing And Rehabilitation Center","0","0","0","0"
"Baya Pointe Nursing And Rehabilitation Center","0","0","0","0"
"Bayshore Pointe Nursing And Rehab Center","0","0","0","0"
"Bayside Care Center","0","0","0","0"
"Bayside Terrace","0","0","0","0"
"Beach House Naples Assisted Living & Memory Care","0","0","0","0"
"Belleair Health Care Center","0","0","0","0"
"Beneva Lakes Assisted Living Center","0","0","0","0"
"Beneva Lakes Healthcare And Rehabilitation Center","0","0","0","0"
"Bentley Village","0","0","0","0"
"Best Care Senior Living At Saint Joseph","0","0","0","0"
"Best Care Senior Living At Winter Haven","0","0","0","0"
"Blessing ALF LLC","0","0","0","0"
"Bloom At St Petersburg","0","0","0","0"
"Blue Point Home Care Inc","0","0","0","0"
"Boca Ciega Center","0","0","0","0"
"Boca Raton Rehabilitation Center","0","0","0","0"
"Bon Secours Maria Manor Nursing Care Center","0","0","0","0"
"Bonifay Nursing And Rehab Center","0","0","0","0"
"Bosch ALF, Inc","0","0","0","0"
"Boynton Beach Rehabilitation Center","0","0","0","0"
"Bridge Assisted Living At Life Care Center Of Orlando (The)","0","0","0","0"
"Bridgeview Center","0","0","0","0"
"Bridgewater Park Health & Rehabilitation Center","0","0","0","0"
"Brighton Gardens Of Tampa","0","0","0","0"
"Bristol Court Assisted Living","0","0","0","0"
"Brookdale Bayshore","0","0","0","0"
"Brookdale Bonita Springs","0","0","0","0"
"Brookdale Canopy Oaks","0","0","0","0"
"Brookdale Conway","0","0","0","0"
"Brookdale Dr Phillips Mc","0","0","0","0"
"Brookdale Fort Walton Beach","0","0","0","0"
"Brookdale Gainesville Southwest","0","0","0","0"
"Brookdale Lake Orienta","0","0","0","0"
"Brookdale North Naples","0","0","0","0"
"Brookdale Orange Park","0","0","0","0"
"Brookdale Ormond Beach","0","0","0","0"
"Brookdale Palm Coast","0","0","0","0"
"Brookdale Palmer Ranch","0","0","0","0"
"Brookdale Panama City","0","0","0","0"
"Brookdale Place At Freedom Pointe","0","0","0","0"
"Brookdale Port Charlotte","0","0","0","0"
"Brookdale Southpoint","0","0","0","0"
"Brookdale Southside","0","0","0","0"
"Brookdale Stuart","0","0","0","0"
"Brookdale Tarpon Springs","0","0","0","0"
"Brookdale Wekiwa Springs","0","0","0","0"
"Brookshire (The)","0","0","0","0"
"Broxton's A. L. F. Homes","0","0","0","0"
"Buffalo Crossing Healthcare And Rehabilitation Center","0","0","0","0"
"Calusa Harbour","0","0","0","0"
"Calvinelle West ALF Inc","0","0","0","0"
"Cameron ALF III Corp","0","0","0","0"
"Canopy At Harper Lake (The)","0","0","0","0"
"Canterbury Towers Inc","0","0","0","0"
"Canterfield Of Tallahassee, LLC","0","0","0","0"
"Cape West LLC","0","0","0","0"
"Care Center At Pinellas Park, The","0","0","0","0"
"Caring Hands Assisted Living II","0","0","0","0"
"Carrington Place Of St Pete","0","0","0","0"
"Casa Bella Home Care Inc","0","0","0","0"
"Cascade Heights","0","0","0","0"
"Castle Court ALF Inc","0","0","0","0"
"Cathedral Gerontology Center, Inc","0","0","0","0"
"Central Tampa Assisted Living","0","0","0","0"
"Century Health And Rehabilitation Center","0","0","0","0"
"Certus Oc Opco, LLC","0","0","0","0"
"Chatham Glen Healthcare And Rehabilitation Center","0","0","0","0"
"Chatsworth At PGA National, LLC","0","0","0","0"
"Clifford Chester Sims State Veterans Nursing Home","0","0","0","0"
"Cloisters Of Deland, The","0","0","0","0"
"Clyde E Lassen State Veterans Nursing Home","0","0","0","0"
"Colonial Assisted Living At Boynton Beach, FL","0","0","0","0"
"Colonial Assisted Living At West Palm Beach FL","0","0","0","0"
"Colonnade At Beckett Lake (The)","0","0","0","0"
"Commons At Orlando Lutheran Towers","0","0","0","0"
"Concordia Village Of Tampa","0","0","0","0"
"Consulate Health Care Of New Port Richey","0","0","0","0"
"Consulate Health Care Of North Fort Myers","0","0","0","0"
"Consulate Health Care Of Port Charlotte","0","0","0","0"
"Consulate Health Care Of Safety Harbor","0","0","0","0"
"Consulate Health Care Of St Petersburg","0","0","0","0"
"Consulate Health Care Of Vero Beach","0","0","0","0"
"Consulate Health Care Of West Palm Beach","0","0","0","0"
"Coral Oaks","0","0","0","0"
"Cottages Of Bradenton (The)","0","0","0","0"
"Countryside Rehab And Healthcare Center","0","0","0","0"
"Courtyard Gardens Of Jupiter","0","0","0","0"
"Covenant Living Of Florida","0","0","0","0"
"Coventry Assisted Living","0","0","0","0"
"Crescent Wood","0","0","0","0"
"Crestwood Nursing Center","0","0","0","0"
"Cross City Nursing And Rehabilitation Center","0","0","0","0"
"Cross Pointe Care Center","0","0","0","0"
"Crosswinds Health And Rehabilitation Center","0","0","0","0"
"Crown Court","0","0","0","0"
"Cypress Point","0","0","0","0"
"Cypress Village","0","0","0","0"
"Dacier Manor","0","0","0","0"
"Darcy Hall Of Life Care","0","0","0","0"
"Dayspring Village, Inc","0","0","0","0"
"De Luna Health And Rehabilitation Center","0","0","0","0"
"Debary Health And Rehabilitation Center","0","0","0","0"
"Desoto Health And Rehab","0","0","0","0"
"Desoto Palms LLC","0","0","0","0"
"Destin Healthcare And Rehabilitation Center","0","0","0","0"
"Discovery Village At Naples","0","0","0","0"
"Discovery Village At Sarasota Bay","0","0","0","0"
"Discovery Village At Tampa Palms","0","0","0","0"
"Dolphin Pointe Health Care Center","0","0","0","0"
"Douglas Jacobson State Veterans Nursing Home","0","0","0","0"
"Dulce Hogar","0","0","0","0"
"East Ridge Retirement Village Inc","0","0","0","0"
"East Ridge Retirement Village, Inc","0","0","0","0"
"Eastside Active Living","0","0","0","0"
"Eden Springs Nursing And Rehab Center","0","0","0","0"
"Elan Buena Vista","0","0","0","0"
"Elmcroft Of Bella Vita","0","0","0","0"
"Embassy Retirement Home Of Margate","0","0","0","0"
"Emerald Health Care Center","0","0","0","0"
"Emory L Bennett Memorial Veterans Nursing Home","0","0","0","0"
"Encore At Avalon Park","0","0","0","0"
"English Estates Assisted Living Facility Inc","0","0","0","0"
"Epworth Village Retirement Community","0","0","0","0"
"Esther Home Care Inc","0","0","0","0"
"Evans Health Care","0","0","0","0"
"Evergreen Woods","0","0","0","0"
"Excel Care Center","0","0","0","0"
"Faith House Assisted Living Facility","0","0","0","0"
"Fern Park Developmental Center","0","0","0","0"
"Fernandina Beach Rehabilitation And Nursing Center","0","0","0","0"
"Finnish-American Village","0","0","0","0"
"First Coast Health And Rehabilitation Center","0","0","0","0"
"Flamingo ALF","0","0","0","0"
"Fleet Landing","0","0","0","0"
"Florida Mentor","0","0","0","0"
"Forum At Deer Creek","0","0","0","0"
"Ft Lauderdale Health And Rehabilitation Center","0","0","0","0"
"Gandy Crossing Care Center","0","0","0","0"
"Gardens Court, The","0","0","0","0"
"Gateway Care Center","0","0","0","0"
"Gentry Park Orlando","0","0","0","0"
"Glades West Rehabilitation And Nursing Center","0","0","0","0"
"Glen Oaks Health And Rehabilitation Center","0","0","0","0"
"Glenridge On Palmer Ranch Inc.","0","0","0","0"
"Gold Choice Deltona","0","0","0","0"
"Golden Age Manor ALF","0","0","0","0"
"Golden Retreat Shelter Care Center, Inc.","0","0","0","0"
"Golfview Healthcare Center","0","0","0","0"
"Good Samaritan Center","0","0","0","0"
"Good Samaritan Society-Daytona","0","0","0","0"
"Grace Rehabilitation Center Of Vero Beach","0","0","0","0"
"Gracious Age","0","0","0","0"
"Grand Living At Tamaya","0","0","0","0"
"Grand Oaks Health And Rehabilitation Center","0","0","0","0"
"Grand Villa Of Deerfield Beach","0","0","0","0"
"Grand Villa Of Deland","0","0","0","0"
"Grand Villa Of Lakeland","0","0","0","0"
"Grand Villa Of Largo","0","0","0","0"
"Grand Villa Of Melbourne","0","0","0","0"
"Grand Villa Of New Port Richey","0","0","0","0"
"Grand Villa Of Ormond Beach","0","0","0","0"
"Grand Villa Of Pinellas Park","0","0","0","0"
"Grand Villa Of Sarasota","0","0","0","0"
"Grand Villa Of St Petersburg","0","0","0","0"
"Green Gables Assisted Living","0","0","0","0"
"Grove Health And Rehabilitation Center, The","0","0","0","0"
"Gulf Coast Village","0","0","0","0"
"Hainat, Inc","0","0","0","0"
"Hampton ALF At 24th Road LLC","0","0","0","0"
"Hampton ALF At Belleview LLC","0","0","0","0"
"Harborchase Of Dr Phillips","0","0","0","0"
"Harborchase Of Naples","0","0","0","0"
"Harborchase Of Palm Beach Gardens","0","0","0","0"
"Harborchase Of Sarasota","0","0","0","0"
"Harborchase Of Venice","0","0","0","0"
"Harborview Acres Inc","0","0","0","0"
"Harts Harbor Health Care Center","0","0","0","0"
"Haven Of Our Lady Of Peace","0","0","0","0"
"Health Center At Sinai Residences","0","0","0","0"
"Healthcare Center Of Jacksonville","0","0","0","0"
"Heartland Health Care & Rehabilitation Center","0","0","0","0"
"Heartland Health Care Center - Prosperity Oaks","0","0","0","0"
"Heritage House","0","0","0","0"
"Heritage Park Health And Rehabilitation Center","0","0","0","0"
"Heron House","0","0","0","0"
"Heron House Of Largo","0","0","0","0"
"Hialeah ALF Inc","0","0","0","0"
"Hialeah Shores Nursing And Rehab Center","0","0","0","0"
"Hibiscus Court","0","0","0","0"
"Highland Pines Rehabilitation Center","0","0","0","0"
"Hobe Sound Manor","0","0","0","0"
"Hsre-Asl Casselberry Trs LLC","0","0","0","0"
"Hunters Creek Nursing And Rehab Center","0","0","0","0"
"Immaculate House At Countryside","0","0","0","0"
"Indigo Manor","0","0","0","0"
"Indigo Palms At The Manor","0","0","0","0"
"Inn At Lake Seminole Square (The)","0","0","0","0"
"Inn At The Fountains","0","0","0","0"
"Inspired Living At Tampa","0","0","0","0"
"Integrity Group Home Corporation","0","0","0","0"
"Isle Health & Rehabilitation Center","0","0","0","0"
"J R Family Care Inc","0","0","0","0"
"Jacaranda Manor","0","0","0","0"
"Jackson Memorial Perdue Medical Center","0","0","0","0"
"Jacksonville Nursing And Rehab Center","0","0","0","0"
"Jean Carlos ALF Inc","0","0","0","0"
"John Knox Village Of Central Florida, Inc.","0","0","0","0"
"John Knox Village Of Florida, Inc.","0","0","0","0"
"John Knox Village Of Pompano Beach","0","0","0","0"
"Jupiter Medical Center Pavilion, Inc.","0","0","0","0"
"Jupiter Rehabilitation And Healthcare Center","0","0","0","0"
"Kendall Lakes Health And Rehabilitation Center","0","0","0","0"
"Key West Health And Rehabilitation Center","0","0","0","0"
"Keystone Place At Naples Preserve","0","0","0","0"
"Keystone Rehabilitation And Health Center","0","0","0","0"
"Kiva At Canterbury, LLC","0","0","0","0"
"Kr At College Harbor","0","0","0","0"
"Lafayette Nursing And Rehabilitation Center","0","0","0","0"
"Lake Eustis Health And Rehabilitation Center","0","0","0","0"
"Lake Placid Health And Rehabilitation Center","0","0","0","0"
"Lakeland Manor ALF","0","0","0","0"
"Lakeside Health Center","0","0","0","0"
"Lakeside Neurologic","0","0","0","0"
"Lakeside Nursing And Rehabilitation Center","0","0","0","0"
"Lakeside Oaks Care Center","0","0","0","0"
