"DEPCODE","County","State","Facility","Total Deaths","Resident Deaths","Staff Deaths","Deaths UI"
6,"Broward","Florida","MAGGYS HOME CARE III INC","1","1","0","0"
6,"Broward","Florida","PACIFICA SENIOR LIVING FOREST TRACE","1","1","0","0"
6,"Broward","Florida","ARTIS SENIOR LIVING OF DAVIE LLC","3","3","0","0"
6,"Broward","Florida","POMPANO HEALTH AND REHABILITATION CENTER","13","13","0","0"
6,"Broward","Florida","THE FORUM AT DEER CREEK","1","1","0","0"
6,"Broward","Florida","GOLFCREST HEALTHCARE CENTER","7","7","0","0"
6,"Broward","Florida","NSPIRE HEALTHCARE TAMARAC","1","1","0","0"
6,"Broward","Florida","SONATA COCONUT CREEK","2","2","0","0"
6,"Broward","Florida","MARGATE HEALTH AND REHABILITATION CENTER","9","9","0","0"
6,"Broward","Florida","BROWARD NURSING & REHABILITATION CENTER","1","1","0","0"
6,"Broward","Florida","NEW HORIZON OF TAMARAC","1","1","0","0"
6,"Broward","Florida","JOHN KNOX VILLAGE OF FLORIDA, INC.","1","1","0","0"
6,"Broward","Florida","THE PRESERVE AT PALM AIRE","1","1","0","0"
6,"Broward","Florida","FT LAUDERDALE HEALTH AND REHABILITATION CENTER","4","4","0","0"
6,"Broward","Florida","ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING HOME","14","14","0","0"
6,"Broward","Florida","HARBORCHASE OF TAMARAC","6","6","0","0"
6,"Broward","Florida","THE COLONY CLUB ALF","2","2","0","0"
6,"Broward","Florida","PRESIDENTIAL PLACE","7","7","0","0"
6,"Broward","Florida","AVALON PARK RETIREMENT RESIDENCE, INC.","2","2","0","0"
6,"Broward","Florida","NSPIRE HEALTHCARE LAUDERHILL","21","21","0","0"
6,"Broward","Florida","PALMS CARE CENTER","8","8","0","0"
6,"Broward","Florida","HILLCREST HEALTH CARE AND REHABILITATION CENTER","11","11","0","0"
6,"Broward","Florida","LIFESTYLE LIVING #1","1","1","0","0"
6,"Broward","Florida","HARBORCHASE OF CORAL SPRINGS","1","1","0","0"
6,"Broward","Florida","SOLARIS HEALTHCARE COCONUT CREEK","4","4","0","0"
6,"Broward","Florida","MAJESTIC MEMORY CARE CENTER","2","2","0","0"
6,"Broward","Florida","GLADES WEST REHABILITATION AND NURSING CENTER","2","2","0","0"
6,"Broward","Florida","PARK SUMMIT AT CORAL SPRINGS","2","2","0","0"
6,"Broward","Florida","OAKMONTE VILLAGE OF DAVIE","1","1","0","0"
6,"Broward","Florida","ATRIA WILLOW WOOD","8","8","0","0"
6,"Broward","Florida","GOLDEN SWAN ASSISTED LIVING, INC.","1","1","0","0"
6,"Broward","Florida","COVENANT VILLAGE CARE CENTER","2","2","0","0"
6,"Broward","Florida","BUCKINGHAM PLACE, LLC","1","1","0","0"
6,"Broward","Florida","DEERFIELD BEACH HEALTH AND REHABILITATION CENTER","6","6","0","0"
6,"Broward","Florida","BRIGHT HORIZONS OF RAMBLEWOOD, INC.","4","4","0","0"
6,"Broward","Florida","FIVE STAR PREMIER RESIDENCES OF HOLLYWOOD","4","4","0","0"
6,"Broward","Florida","PACIFICA SENIOR LIVING SUNRISE","1","1","0","0"
6,"Broward","Florida","TAMARAC REHABILITATION AND HEALTH CENTER, INC.","4","3","0","1"
6,"Broward","Florida","MIDTOWN MANOR","1","1","0","0"
6,"Broward","Florida","MEMORIAL MANOR","3","3","0","0"
6,"Broward","Florida","SUNRISE HEALTH AND REHABILITATION CENTER","1","1","0","0"
6,"Broward","Florida","COURT AT PALM AIRE, THE","7","7","0","0"
7,"Calhoun","Florida","BLOUNTSTOWN HEALTH AND REHABILITATION CENTER","5","5","0","0"
7,"Calhoun","Florida","RIVER VALLEY REHABILITATION CENTER","1","1","0","0"
8,"Charlotte","Florida","LIFE CARE CENTER OF PUNTA GORDA","3","3","0","0"
8,"Charlotte","Florida","VILLAGE PLACE RETIREMENT","1","1","0","0"
8,"Charlotte","Florida","HARBOUR TERRACE","5","5","0","0"
8,"Charlotte","Florida","SIGNATURE HEALTHCARE OF PORT CHARLOTTE","4","4","0","0"
8,"Charlotte","Florida","VILLAGE PLACE HEALTH AND REHABILITATION CENTER","3","3","0","0"
8,"Charlotte","Florida","PORT CHARLOTTE REHABILITATION CENTER","4","4","0","0"
8,"Charlotte","Florida","HARBOUR HEALTH CENTER","13","13","0","0"
8,"Charlotte","Florida","SANDHILL GARDENS RETIREMENT CENTER","1","1","0","0"
8,"Charlotte","Florida","SOLARIS HEALTHCARE CHARLOTTE HARBOR","20","19","1","0"
9,"Citrus","Florida","SUPERIOR RESIDENCES OF LECANTO","1","1","0","0"
9,"Citrus","Florida","AVANTE AT INVERNESS INC","3","3","0","0"
9,"Citrus","Florida","BROOKDALE CITRUS","1","1","0","0"
9,"Citrus","Florida","SUNFLOWER SPRINGS LLC","1","1","0","0"
9,"Citrus","Florida","SUGARMILL MANOR","3","3","0","0"
9,"Citrus","Florida","GROVE HEALTH AND REHABILITATION CENTER, THE","1","1","0","0"
10,"Clay","Florida","ALLEGRO","1","1","0","0"
10,"Clay","Florida","SIGNATURE HEALTHCARE OF ORANGE PARK","1","1","0","0"
10,"Clay","Florida","SILVER TREASURES AT ORANGE PARK LLC","1","1","0","0"
10,"Clay","Florida","LIFE CARE CENTER AT WELLS CROSSING","2","2","0","0"
10,"Clay","Florida","CONSULATE HEALTH CARE OF ORANGE PARK","2","2","0","0"
10,"Clay","Florida","DIAMOND ALF, LLC","5","5","0","0"
10,"Clay","Florida","HEARTLAND HEALTH CARE CENTER - ORANGE PARK","4","4","0","0"
10,"Clay","Florida","LIFE CARE CENTER OF ORANGE PARK","2","2","0","0"
10,"Clay","Florida","ISLE HEALTH & REHABILITATION CENTER","1","1","0","0"
10,"Clay","Florida","GOVERNORS CREEK HEALTH AND REHABILITATION","10","10","0","0"
10,"Clay","Florida","SEAGRASS VILLAGE OF FLEMING ISLAND","2","2","0","0"
11,"Collier","Florida","BENTLEY CARE CENTER","5","5","0","0"
11,"Collier","Florida","MANORCARE NURSING AND REHABILITATION CENTER","16","16","0","0"
11,"Collier","Florida","NAPLES GREEN VILLAGE","7","7","0","0"
11,"Collier","Florida","ALL SEASONS IN NAPLES LLC","3","3","0","0"
11,"Collier","Florida","HERITAGE HEALTHCARE AND REHABILITATION CENTER","8","8","0","0"
11,"Collier","Florida","SOLARIS HEALTHCARE IMPERIAL","1","1","0","0"
11,"Collier","Florida","MANORCARE AT LELY PALMS","9","9","0","0"
11,"Collier","Florida","ASTON GARDENS AT PELICAN MARSH","3","2","1","0"
11,"Collier","Florida","LAKESIDE PAVILION","1","1","0","0"
11,"Collier","Florida","BAYSHORE MEMORY CARE","1","1","0","0"
11,"Collier","Florida","SOLARIS SENIOR LIVING NORTH NAPLES","2","2","0","0"
12,"Columbia","Florida","ROBERT H JENKINS JR VETERANS DOMICILIARY HOME OF FLORIDA","3","0","3","0"
12,"Columbia","Florida","SOLARIS HEALTHCARE LAKE CITY","1","1","0","0"
12,"Columbia","Florida","AVALON HEALTHCARE CENTER","1","1","0","0"
13,"Dade","Florida","HIALEAH NURSING AND REHABILITATION CENTER","55","55","0","0"
13,"Dade","Florida","FAIR HAVENS CENTER","52","52","0","0"
13,"Dade","Florida","SIGNATURE HEALTHCARE CENTER OF WATERFORD","40","40","0","0"
13,"Dade","Florida","VILLA SERENA III","1","1","0","0"
13,"Dade","Florida","AVENTURA REHAB AND NURSING CENTER","10","9","1","0"
13,"Dade","Florida","SALMO 23 ELDER CARE","1","1","0","0"
13,"Dade","Florida","REGENTS PARK AT AVENTURA","29","29","0","0"
13,"Dade","Florida","AGING WORLD ALF, LLC","2","2","0","0"
13,"Dade","Florida","SWEET HOPE ASSISTED LIVING CORP","1","0","0","1"
13,"Dade","Florida","SILVER PALM ASSISTED LIVING, LLC","4","4","0","0"
13,"Dade","Florida","RESIDENTIAL PLAZA AT BLUE LAGOON","10","10","0","0"
13,"Dade","Florida","CLARIDGE HOUSE NURSING & REHABILITATION CENTER","24","24","0","0"
13,"Dade","Florida","SALMO 23 NO. 2, LLC.","4","4","0","0"
13,"Dade","Florida","PALMETTO SUBACUTE CARE CENTER","13","13","0","0"
13,"Dade","Florida","SIGNATURE HEALTHCARE OF BROOKWOOD GARDENS","13","13","0","0"
13,"Dade","Florida","SOUTH DADE NURSING AND REHABILITATION CENTER","7","7","0","0"
13,"Dade","Florida","SALMOS 23 V LLC","3","3","0","0"
13,"Dade","Florida","KRYSTAL BAY NURSING AND REHABILITATION","7","7","0","0"
13,"Dade","Florida","PALACE AT HOMESTEAD, LLC","1","1","0","0"
13,"Dade","Florida","NORTH DADE NURSING AND REHABILITATION CENTER","21","21","0","0"
13,"Dade","Florida","SUNSHINE ELDERLY RESIDENCES, CORP","1","1","0","0"
13,"Dade","Florida","NSPIRE HEALTHCARE MIAMI LAKES","21","20","1","0"
13,"Dade","Florida","SUNSHINE ADULT CENTER CORP.","1","1","0","0"
13,"Dade","Florida","TREASURE ISLE CARE CENTER","6","6","0","0"
13,"Dade","Florida","MARIA ADULT HOME CARE III","1","1","0","0"
13,"Dade","Florida","SUN COAST","1","1","0","0"
13,"Dade","Florida","CORAL REEF NURSING & REHABILITATION CENTER","19","19","0","0"
13,"Dade","Florida","SUNNY HILLS ALF OF HOMESTEAD, INC","1","1","0","0"
13,"Dade","Florida","ASSISTED LIVING RETIREMENT HOMES I","1","1","0","0"
13,"Dade","Florida","NEW ERA COMMUNITY HEALTH CENTER LLC","2","2","0","0"
13,"Dade","Florida","BUENA VISTA HEALTH CARE II, CORP.","1","1","0","0"
13,"Dade","Florida","BRYAN FAMILY HOME, INC","1","1","0","0"
13,"Dade","Florida","MIAMI-DADE COUNTY","1","1","0","0"
13,"Dade","Florida","PALMETTO CARE CENTER","2","2","0","0"
13,"Dade","Florida","SWEETEST HOME INC (THE)","4","4","0","0"
13,"Dade","Florida","NORTH BEACH REHABILITATION CENTER","5","5","0","0"
13,"Dade","Florida","NSPIRE HEALTHCARE KENDALL","5","5","0","0"
13,"Dade","Florida","LAS MERCEDES BOARDING HOME","1","1","0","0"
13,"Dade","Florida","PALM GARDEN OF AVENTURA","5","5","0","0"
13,"Dade","Florida","SANDS AT SOUTH BEACH CARE CENTER, THE","16","16","0","0"
13,"Dade","Florida","SINAI PLAZA NURSING AND REHAB CENTER","15","14","1","0"
13,"Dade","Florida","MIAMI SHORES NURSING AND REHAB CENTER","15","15","0","0"
13,"Dade","Florida","BLANCA AZUZENA HOME CARE INC","1","1","0","0"
13,"Dade","Florida","VILLA ROSA IV, INC","1","1","0","0"
13,"Dade","Florida","RIVIERA HEALTH RESORT","1","1","0","0"
13,"Dade","Florida","UNITY HEALTH AND REHABILITATION CENTER","15","15","0","0"
13,"Dade","Florida","MI CASA DORADA ASSISTED LIVING FACILITY CORP","2","2","0","0"
13,"Dade","Florida","MIAMI ASTURIAS HOME INC","2","2","0","0"
13,"Dade","Florida","POINTE OF NORTH GABLES","10","9","1","0"
13,"Dade","Florida","MIAMI JEWISH HEALTH SYSTEMS, INC.","14","14","0","0"
13,"Dade","Florida","PINES NURSING HOME","1","1","0","0"
13,"Dade","Florida","LIVEWELL AT GRAND COURT LAKES","2","2","0","0"
13,"Dade","Florida","HAZEL CYPEN TOWER","2","2","0","0"
13,"Dade","Florida","PALACE AT KENDALL NURSING AND REHABILITATION CENTER","1","1","0","0"
13,"Dade","Florida","PALM BREEZE A.L.F.","1","1","0","0"
13,"Dade","Florida","SUSANNA WESLEY HEALTH CENTER","12","12","0","0"
13,"Dade","Florida","RAFFA CORP II","1","1","0","0"
13,"Dade","Florida","VICTORIA NURSING & REHABILITATION CENTER, INC.","9","9","0","0"
13,"Dade","Florida","STERLING AVENTURA","1","1","0","0"
13,"Dade","Florida","CROSS GARDENS CARE CENTER","13","13","0","0"
13,"Dade","Florida","LOG CABIN ENTERPRISES, INC.","1","1","0","0"
13,"Dade","Florida","FOUNTAIN MANOR HEALTH & REHABILITATION CENTER","12","12","0","0"
13,"Dade","Florida","RIVERSIDE CARE CENTER","2","2","0","0"
13,"Dade","Florida","CORAL GABLES NURSING AND REHABILITATION CENTER","4","4","0","0"
13,"Dade","Florida","FRANCO NURSING & REHABILITATION CENTER","4","3","1","0"
13,"Dade","Florida","JACKSON PLAZA NURSING AND REHABILITATION CENTER","10","10","0","0"
13,"Dade","Florida","MERRY ONE ALF","1","1","0","0"
13,"Dade","Florida","HAMPTON COURT NURSING AND REHABILITATION CENTER","2","2","0","0"
13,"Dade","Florida","VILLA MARIA PIA INC","1","1","0","0"
13,"Dade","Florida","WEST GABLES HEALTH CARE CENTER","10","10","0","0"
13,"Dade","Florida","ISA ADULT CARE","1","1","0","0"
13,"Dade","Florida","A LOVING PLACE ALF","1","1","0","0"
13,"Dade","Florida","PONCE PLAZA NURSING & REHABILITATION CENTER","5","5","0","0"
13,"Dade","Florida","EAST RIDGE RETIREMENT VILLAGE INC","1","1","0","0"
13,"Dade","Florida","ARCH PLAZA NURSING & REHABILITATION CENTER","3","3","0","0"
13,"Dade","Florida","FLORIDEAN NURSING AND REHABILITATION CENTER, THE","10","10","0","0"
13,"Dade","Florida","VI AT AVENTURA","2","2","0","0"
13,"Dade","Florida","SHALOM ALF","1","1","0","0"
13,"Dade","Florida","VIDA CLARA ADULT CARE SERVICES LLC","1","1","0","0"
13,"Dade","Florida","VILLA MARIA WEST SKILLED NURSING FACILITY","1","1","0","0"
13,"Dade","Florida","GOLDEN GLADES NURSING AND REHABILITATION CENTER","10","10","0","0"
13,"Dade","Florida","JACKSON MEMORIAL LONG TERM CARE CENTER","4","4","0","0"
13,"Dade","Florida","VILLA MARIA NURSING CENTER","1","1","0","0"
13,"Dade","Florida","VILLA ROSA II INC","2","2","0","0"
13,"Dade","Florida","IMPERIAL CLUB","1","1","0","0"
13,"Dade","Florida","GREEN STREET ALF, CORP","1","1","0","0"
13,"Dade","Florida","PINECREST REHABILITATION CENTER","1","1","0","0"
13,"Dade","Florida","ABUELITAS HOME, INC","1","1","0","0"
13,"Dade","Florida","PROFESSIONAL HOME CARE I","1","1","0","0"
13,"Dade","Florida","UNIVERSITY PLAZA REHABILITATION AND NURSING CENTER, INC","6","6","0","0"
13,"Dade","Florida","BUENA VISTA ASSISTED LIVING","2","2","0","0"
13,"Dade","Florida","AMIGOS OF WESTCHESTER ALF CORP","1","1","0","0"
13,"Dade","Florida","GARDEN HILLS RETIREMENT CENTER, INC","1","1","0","0"
13,"Dade","Florida","HARMONY HEALTH CENTER","2","2","0","0"
13,"Dade","Florida","CASA DE AMOR ALF INC","1","1","0","0"
13,"Dade","Florida","PALACE AT KENDALL","2","2","0","0"
16,"Duval","Florida","SIGNATURE HEALTHCARE OF JACKSONVILLE","20","20","0","0"
16,"Duval","Florida","BROOKDALE SOUTHPOINT","1","1","0","0"
16,"Duval","Florida","LANIER REHABILITATION CENTER","2","2","0","0"
16,"Duval","Florida","BROOKDALE ATRIUM WAY 1","3","2","1","0"
16,"Duval","Florida","CAMELLIA AT DEERWOOD","10","9","0","1"
16,"Duval","Florida","FLEET LANDING","1","1","0","0"
16,"Duval","Florida","NOBLE HOUSE RETIREMENT OF JACKSONVILLE, LLC","1","1","0","0"
16,"Duval","Florida","RIVER GARDEN HEBREW HOME FOR THE AGED","2","2","0","0"
16,"Duval","Florida","PARK RIDGE NURSING CENTER","9","9","0","0"
16,"Duval","Florida","SAN JOSE HEALTH AND REHABILITATION CENTER","1","1","0","0"
16,"Duval","Florida","TERRACE OF JACKSONVILLE, THE","2","2","0","0"
16,"Duval","Florida","TAYLOR CARE CENTER","6","5","1","0"
16,"Duval","Florida","HEARTLAND HEALTH CARE CENTER - JACKSONVILLE","2","2","0","0"
16,"Duval","Florida","JACKSONVILLE NURSING AND REHAB CENTER","2","2","0","0"
16,"Duval","Florida","BARTRAM LAKES ASSISTED LIVING","1","1","0","0"
16,"Duval","Florida","SAN JOSE GARDENS ALZHEIMER'S SPECIAL CARE CENTER","2","2","0","0"
16,"Duval","Florida","THE COVE AT MARSH LANDING","3","3","0","0"
16,"Duval","Florida","ELMCROFT OF TIMBERLIN PARC","1","1","0","0"
16,"Duval","Florida","FANNIE E. TAYLOR HOME FOR THE AGED-TAYLOR MANOR, INC.","2","2","0","0"
16,"Duval","Florida","FIRST COAST HEALTH AND REHABILITATION CENTER","1","1","0","0"
16,"Duval","Florida","FOURAKER HILLS REHAB AND NURSING CENTER","5","4","0","1"
17,"Escambia","Florida","BROOKDALE PENSACOLA","4","4","0","0"
17,"Escambia","Florida","GRANDVIEW RETIREMENT CENTER","3","3","0","0"
17,"Escambia","Florida","SOUTHERN OAKS CARE CENTER","10","9","1","0"
17,"Escambia","Florida","SPECIALTY HEALTH AND REHABILITATION CENTER","2","2","0","0"
17,"Escambia","Florida","ROSEWOOD HEALTHCARE AND REHABILITATION CENTER","3","3","0","0"
17,"Escambia","Florida","THE WATERFORD AT CARPENTER'S CREEK","5","5","0","0"
17,"Escambia","Florida","ARCADIA HEALTH & REHABILITATION CENTER","3","3","0","0"
17,"Escambia","Florida","WILLOWBROOKE COURT AT AZALEA TRACE","7","7","0","0"
17,"Escambia","Florida","THE WATERFORD AT CREEKSIDE","2","2","0","0"
17,"Escambia","Florida","HOMESTEAD VILLAGE RETIREMENT COMMUNITY","1","1","0","0"
17,"Escambia","Florida","HAVEN OF OUR LADY OF PEACE","1","1","0","0"
17,"Escambia","Florida","PENSACOLA DEVELOPMENTAL CENTER","1","1","0","0"
17,"Escambia","Florida","REHABILITATION CENTER AT PARK PLACE","8","8","0","0"
17,"Escambia","Florida","BAYSIDE HEALTH AND REHABILITATION CENTER","15","15","0","0"
18,"Flagler","Florida","FLAGLER HEALTH AND REHABILITATION CENTER","1","1","0","0"
20,"Gadsden","Florida","MAGNOLIA HOUSE","1","1","0","0"
20,"Gadsden","Florida","RIVERCHASE HEALTH AND REHABILITATION CENTER","7","6","1","0"
21,"Gilchrist","Florida","AYERS HEALTH AND REHABILITATION CENTER","2","2","0","0"
25,"Hardee","Florida","HARDEE MANOR HEALTHCARE CENTER","2","2","0","0"
26,"Hendry","Florida","CLEWISTON NURSING & REHABILITATION","12","12","0","0"
26,"Hendry","Florida","OAKBROOK HEALTH AND REHABILITATION CENTER","7","7","0","0"
27,"Hernando","Florida","HERON POINTE HEALTH AND REHABILITATION","3","3","0","0"
27,"Hernando","Florida","SPRING OAKS","6","6","0","0"
27,"Hernando","Florida","FOREST OAKS OF SPRING HILL","1","1","0","0"
27,"Hernando","Florida","BROOKSVILLE HEALTHCARE CENTER","5","5","0","0"
27,"Hernando","Florida","EVERGREEN WOODS","4","3","1","0"
27,"Hernando","Florida","NORTHBROOK HEALTH AND REHABILITATION CENTER","2","2","0","0"
28,"Highlands","Florida","PALMS OF SEBRING (THE)","1","0","1","0"
28,"Highlands","Florida","OAKS AT AVON","4","4","0","0"
29,"Hillsborough","Florida","BRISTOL AT TAMPA REHABILITATION AND NURSING CENTER LLC, THE","26","26","0","0"
29,"Hillsborough","Florida","ANGELS SENIOR LIVING AT NEW TAMPA, LLC","1","1","0","0"
29,"Hillsborough","Florida","HABANA HEALTH CARE CENTER","11","11","0","0"
29,"Hillsborough","Florida","COMMUNITY CONVALESCENT CENTER","22","22","0","0"
29,"Hillsborough","Florida","EXCEL CARE CENTER","5","5","0","0"
29,"Hillsborough","Florida","PLAZA WEST","1","1","0","0"
29,"Hillsborough","Florida","CONCORDIA VILLAGE OF TAMPA","9","9","0","0"
29,"Hillsborough","Florida","HANNA OAKS CENTER FOR INDEPENDENT AND ASSISTED LIVING","3","3","0","0"
29,"Hillsborough","Florida","TESSERA OF BRANDON","1","1","0","0"
29,"Hillsborough","Florida","PALM GARDEN OF TAMPA","3","3","0","0"
29,"Hillsborough","Florida","BAYSHORE POINTE NURSING AND REHAB CENTER","3","3","0","0"
29,"Hillsborough","Florida","BELVEDERE COMMONS OF SUN CITY CENTER","1","1","0","0"
29,"Hillsborough","Florida","BRANDON HEALTH AND REHABILITATION CENTER","1","1","0","0"
29,"Hillsborough","Florida","SUN CITY SENIOR LIVING","4","4","0","0"
29,"Hillsborough","Florida","HILLSBOROUGH COUNTY DEVELOPMENTAL CENTER","1","1","0","0"
29,"Hillsborough","Florida","SUPERIOR RESIDENCES OF BRANDON MEMORY CARE","5","5","0","0"
29,"Hillsborough","Florida","CARROLLWOOD CARE CENTER","7","7","0","0"
29,"Hillsborough","Florida","CROSSINGS AT RIVERVIEW, THE","2","2","0","0"
29,"Hillsborough","Florida","WHISPERING OAKS","4","4","0","0"
29,"Hillsborough","Florida","COVENTRY ASSISTED LIVING","1","1","0","0"
29,"Hillsborough","Florida","MARINA ASSISTED LIVING FACILITY, LLC","1","1","0","0"
29,"Hillsborough","Florida","BRIGHTON GARDENS OF TAMPA","3","3","0","0"
29,"Hillsborough","Florida","BEST CARE SENIOR LIVING AT SAINT JOSEPH","1","1","0","0"
29,"Hillsborough","Florida","FLETCHER HEALTH AND REHABILITATION CENTER","4","4","0","0"
29,"Hillsborough","Florida","A LA MY LOVE ALF","1","1","0","0"
29,"Hillsborough","Florida","HOMEWOOD RESIDENCE AT FREEDOM PLAZA","3","3","0","0"
29,"Hillsborough","Florida","CENTRAL TAMPA ASSISTED LIVING","3","3","0","0"
29,"Hillsborough","Florida","STONE LEDGE MANOR","2","2","0","0"
29,"Hillsborough","Florida","BRISAS DEL CARIBE ALF INC","2","2","0","0"
29,"Hillsborough","Florida","THE COLONNADE AT NORTHDALE","2","2","0","0"
29,"Hillsborough","Florida","GANDY CROSSING CARE CENTER","4","4","0","0"
29,"Hillsborough","Florida","CENTRAL PARK HEALTHCARE AND REHABILITATION CENTER","3","3","0","0"
29,"Hillsborough","Florida","ROSECASTLE AT DELANEY CREEK","2","2","0","0"
29,"Hillsborough","Florida","HAWTHORNE HEALTH AND REHAB OF BRANDON","9","9","0","0"
29,"Hillsborough","Florida","REHABILITATION AND HEALTHCARE CENTER OF TAMPA","5","5","0","0"
29,"Hillsborough","Florida","WEINBERG VILLAGE","1","1","0","0"
29,"Hillsborough","Florida","PROMISE POINTE AT TAMPA OAKS","2","2","0","0"
29,"Hillsborough","Florida","ROYAL SUN PARK ASSISTED LIVING FACILITY","1","1","0","0"
29,"Hillsborough","Florida","THE INN AT UNIVERSITY VILLAGE","3","3","0","0"
29,"Hillsborough","Florida","CONSULATE HEALTH CARE OF BRANDON","18","18","0","0"
29,"Hillsborough","Florida","PALM GARDEN OF SUN CITY","4","4","0","0"
29,"Hillsborough","Florida","INSPIRED LIVING AT SUN CITY CENTER","2","2","0","0"
29,"Hillsborough","Florida","TAMPA LAKES HEALTH AND REHABILITATION CENTER","2","2","0","0"
29,"Hillsborough","Florida","FAIRWAY OAKS CENTER","2","2","0","0"
30,"Holmes","Florida","BONIFAY NURSING AND REHAB CENTER","1","1","0","0"
31,"Indian River","Florida","HARBORCHASE OF VERO BEACH","5","5","0","0"
31,"Indian River","Florida","OAKBRIDGE TERRACE ASSISTED LIVING AT INDIAN RIVER ESTATES","1","1","0","0"
31,"Indian River","Florida","GRACE REHABILITATION CENTER OF VERO BEACH","1","1","0","0"
31,"Indian River","Florida","BROOKDALE VERO BEACH SOUTH","2","2","0","0"
31,"Indian River","Florida","PALM GARDEN OF VERO BEACH","5","5","0","0"
31,"Indian River","Florida","ROSEWOOD MANOR OF VERO BEACH, LLC","4","4","0","0"
31,"Indian River","Florida","SOLARIS SENIOR LIVING VERO BEACH","1","1","0","0"
31,"Indian River","Florida","SEA BREEZE REHAB AND NURSING CENTER","6","6","0","0"
32,"Jackson","Florida","SIGNATURE HEALTHCARE AT THE COURTYARD","1","1","0","0"
32,"Jackson","Florida","MARIANNA HEALTH AND REHABILITATION CENTER","30","30","0","0"
33,"Jefferson","Florida","CROSS LANDINGS HEALTH AND REHABILITATION CENTER","4","4","0","0"
35,"Lake","Florida","BAYVIEW CENTER","3","3","0","0"
35,"Lake","Florida","VILLAGE VERANDA AT LADY LAKE","1","1","0","0"
35,"Lake","Florida","THE COVE AT TAVARES VILLAGE","2","1","1","0"
35,"Lake","Florida","AVANTE AT MT DORA, INC.","2","2","0","0"
35,"Lake","Florida","SOUTH CAMPUS CARE CENTER","6","6","0","0"
35,"Lake","Florida","LADY LAKE SPECIALTY CARE CENTER","2","2","0","0"
36,"Lee","Florida","THRIVE AT BEACHWALK","8","8","0","0"
